set,file,label,path
train,image_716_resized_resized.jpg,sensitive,new_dataset_raw\Sensitive\image_716_resized_resized.jpg
train,image_216.jpg,normal,new_dataset_raw\Normal\image_216.jpg
train,image_400 - Copy_resized_flipped_vertical.jpg,sensitive,new_dataset_raw\Sensitive\image_400 - Copy_resized_flipped_vertical.jpg
train,images (11)_resized_rotated_180_flipped_vertical.jpg,dry,new_dataset_raw\Dry\images (11)_resized_rotated_180_flipped_vertical.jpg
train,dry(32)_resized_rotated_180_flipped_horizontal.jpg,dry,new_dataset_raw\Dry\dry(32)_resized_rotated_180_flipped_horizontal.jpg
train,image_425.jpg,normal,new_dataset_raw\Normal\image_425.jpg
train,images (27)_resized_rotated_180_flipped_vertical.jpg,dry,new_dataset_raw\Dry\images (27)_resized_rotated_180_flipped_vertical.jpg
train,image_45.jpg,normal,new_dataset_raw\Normal\image_45.jpg
train,images (16)_resized_rotated_180_flipped_horizontal.jpg,dry,new_dataset_raw\Dry\images (16)_resized_rotated_180_flipped_horizontal.jpg
train,image_671_resized_rotated_90.jpg,sensitive,new_dataset_raw\Sensitive\image_671_resized_rotated_90.jpg
train,image_734_resized_resized.jpg,combination,new_dataset_raw\Combination\image_734_resized_resized.jpg
train,image_432 - Copy_resized_rotated_180_flipped_vertical.jpg,combination,new_dataset_raw\Combination\image_432 - Copy_resized_rotated_180_flipped_vertical.jpg
train,image_698_resized_rotated_90_flipped_vertical.jpg,sensitive,new_dataset_raw\Sensitive\image_698_resized_rotated_90_flipped_vertical.jpg
train,image_290_resized_rotated_180.jpg,combination,new_dataset_raw\Combination\image_290_resized_rotated_180.jpg
train,images (40)_resized_flipped_horizontal.jpg,dry,new_dataset_raw\Dry\images (40)_resized_flipped_horizontal.jpg
train,image_149_resized_resized.jpg,sensitive,new_dataset_raw\Sensitive\image_149_resized_resized.jpg
train,oily(108)_resized_rotated_90_flipped_vertical.jpg,oily,new_dataset_raw\Oily\oily(108)_resized_rotated_90_flipped_vertical.jpg
train,images (38)_resized_rotated_180.jpg,dry,new_dataset_raw\Dry\images (38)_resized_rotated_180.jpg
train,image_655_resized_rotated_180.jpg,combination,new_dataset_raw\Combination\image_655_resized_rotated_180.jpg
train,image_486.jpg,normal,new_dataset_raw\Normal\image_486.jpg
train,dry(32)_resized_rotated_90_flipped_horizontal.jpg,dry,new_dataset_raw\Dry\dry(32)_resized_rotated_90_flipped_horizontal.jpg
train,images (24)_resized_rotated_180_flipped_vertical.jpg,dry,new_dataset_raw\Dry\images (24)_resized_rotated_180_flipped_vertical.jpg
train,image_229.jpg,normal,new_dataset_raw\Normal\image_229.jpg
train,acne-pustular-67_resized_rotated_90_flipped_horizontal.jpg,combination,new_dataset_raw\Combination\acne-pustular-67_resized_rotated_90_flipped_horizontal.jpg
train,oily(85)_resized_rotated_180_flipped_horizontal.jpg,oily,new_dataset_raw\Oily\oily(85)_resized_rotated_180_flipped_horizontal.jpg
train,images (34)_resized_rotated_180_flipped_horizontal.jpg,dry,new_dataset_raw\Dry\images (34)_resized_rotated_180_flipped_horizontal.jpg
train,images (26)_resized_rotated_180_flipped_vertical.jpg,dry,new_dataset_raw\Dry\images (26)_resized_rotated_180_flipped_vertical.jpg
train,image_424.jpg,normal,new_dataset_raw\Normal\image_424.jpg
train,image_735_resized_rotated_90_flipped_horizontal.jpg,combination,new_dataset_raw\Combination\image_735_resized_rotated_90_flipped_horizontal.jpg
train,image_679_resized_flipped_horizontal.jpg,combination,new_dataset_raw\Combination\image_679_resized_flipped_horizontal.jpg
train,image_387 - Copy_resized_rotated_90_flipped_vertical.jpg,sensitive,new_dataset_raw\Sensitive\image_387 - Copy_resized_rotated_90_flipped_vertical.jpg
train,oily(85)_resized_rotated_180_flipped_vertical.jpg,oily,new_dataset_raw\Oily\oily(85)_resized_rotated_180_flipped_vertical.jpg
train,image_442 - Copy_resized_resized.jpg,combination,new_dataset_raw\Combination\image_442 - Copy_resized_resized.jpg
train,image_310 - Copy_resized_flipped_vertical.jpg,sensitive,new_dataset_raw\Sensitive\image_310 - Copy_resized_flipped_vertical.jpg
train,image_608_resized_flipped_vertical.jpg,sensitive,new_dataset_raw\Sensitive\image_608_resized_flipped_vertical.jpg
train,image_774_resized_flipped_horizontal.jpg,sensitive,new_dataset_raw\Sensitive\image_774_resized_flipped_horizontal.jpg
train,image_366.jpg,normal,new_dataset_raw\Normal\image_366.jpg
train,image_756_resized_rotated_180_flipped_horizontal.jpg,sensitive,new_dataset_raw\Sensitive\image_756_resized_rotated_180_flipped_horizontal.jpg
train,image_234_resized_resized.jpg,combination,new_dataset_raw\Combination\image_234_resized_resized.jpg
train,image_495.jpg,normal,new_dataset_raw\Normal\image_495.jpg
train,image_727_resized_rotated_90_flipped_horizontal.jpg,combination,new_dataset_raw\Combination\image_727_resized_rotated_90_flipped_horizontal.jpg
train,images (6)_resized_resized.jpg,dry,new_dataset_raw\Dry\images (6)_resized_resized.jpg
train,image_78.jpg,normal,new_dataset_raw\Normal\image_78.jpg
train,image_507 - Copy_resized_resized.jpg,sensitive,new_dataset_raw\Sensitive\image_507 - Copy_resized_resized.jpg
train,image_683_resized_rotated_180_flipped_vertical.jpg,combination,new_dataset_raw\Combination\image_683_resized_rotated_180_flipped_vertical.jpg
train,image_680_resized_resized.jpg,combination,new_dataset_raw\Combination\image_680_resized_resized.jpg
train,images (5)_resized_rotated_180.jpg,dry,new_dataset_raw\Dry\images (5)_resized_rotated_180.jpg
train,image_725_resized_flipped_horizontal.jpg,combination,new_dataset_raw\Combination\image_725_resized_flipped_horizontal.jpg
train,image_442 - Copy_resized_rotated_180_flipped_vertical.jpg,combination,new_dataset_raw\Combination\image_442 - Copy_resized_rotated_180_flipped_vertical.jpg
train,image_671_resized_rotated_90_flipped_vertical.jpg,sensitive,new_dataset_raw\Sensitive\image_671_resized_rotated_90_flipped_vertical.jpg
train,images (42)_resized_rotated_180_flipped_vertical.jpg,dry,new_dataset_raw\Dry\images (42)_resized_rotated_180_flipped_vertical.jpg
train,image_411.jpg,normal,new_dataset_raw\Normal\image_411.jpg
train,c86_resized_rotated_90_flipped_vertical.jpg,oily,new_dataset_raw\Oily\c86_resized_rotated_90_flipped_vertical.jpg
train,image_683_resized_rotated_180.jpg,combination,new_dataset_raw\Combination\image_683_resized_rotated_180.jpg
train,image_678_resized_flipped_horizontal.jpg,combination,new_dataset_raw\Combination\image_678_resized_flipped_horizontal.jpg
train,image_455.jpg,normal,new_dataset_raw\Normal\image_455.jpg
train,images (31)_resized_resized.jpg,dry,new_dataset_raw\Dry\images (31)_resized_resized.jpg
