file,label,group,set
new_dataset_raw\Dry\download (2)_resized_flipped_vertical.jpg,dry,download (2),train
new_dataset_raw\Dry\download (2)_resized_resized.jpg,dry,download (2),train
new_dataset_raw\Dry\download (2)_resized_rotated_180.jpg,dry,download (2),train
new_dataset_raw\Dry\download (2)_resized_rotated_180_flipped_horizontal.jpg,dry,download (2),train
new_dataset_raw\Dry\download (2)_resized_rotated_180_flipped_vertical.jpg,dry,download (2),train
new_dataset_raw\Dry\download (2)_resized_rotated_90.jpg,dry,download (2),train
new_dataset_raw\Dry\download (2)_resized_rotated_90_flipped_horizontal.jpg,dry,download (2),train
new_dataset_raw\Dry\download (2)_resized_rotated_90_flipped_vertical.jpg,dry,download (2),train
new_dataset_raw\Dry\dry(32)_resized_flipped_horizontal.jpg,dry,dry(32),train
new_dataset_raw\Dry\dry(32)_resized_flipped_vertical.jpg,dry,dry(32),train
new_dataset_raw\Dry\dry(32)_resized_resized.jpg,dry,dry(32),train
new_dataset_raw\Dry\dry(32)_resized_rotated_180.jpg,dry,dry(32),train
new_dataset_raw\Dry\dry(32)_resized_rotated_180_flipped_horizontal.jpg,dry,dry(32),train
new_dataset_raw\Dry\dry(32)_resized_rotated_180_flipped_vertical.jpg,dry,dry(32),train
new_dataset_raw\Dry\dry(32)_resized_rotated_90_flipped_horizontal.jpg,dry,dry(32),train
new_dataset_raw\Dry\dry(32)_resized_rotated_90_flipped_vertical.jpg,dry,dry(32),train
new_dataset_raw\Dry\images (10)_resized_flipped_vertical.jpg,dry,images (10),train
new_dataset_raw\Dry\images (10)_resized_resized.jpg,dry,images (10),train
new_dataset_raw\Dry\images (10)_resized_rotated_180_flipped_horizontal.jpg,dry,images (10),train
new_dataset_raw\Dry\images (10)_resized_rotated_180_flipped_vertical.jpg,dry,images (10),train
new_dataset_raw\Dry\images (10)_resized_rotated_90.jpg,dry,images (10),train
new_dataset_raw\Dry\images (10)_resized_rotated_90_flipped_horizontal.jpg,dry,images (10),train
new_dataset_raw\Dry\images (12)_resized_resized.jpg,dry,images (12),train
new_dataset_raw\Dry\images (12)_resized_rotated_180_flipped_horizontal.jpg,dry,images (12),train
new_dataset_raw\Dry\images (12)_resized_rotated_180_flipped_vertical.jpg,dry,images (12),train
new_dataset_raw\Dry\images (12)_resized_rotated_90.jpg,dry,images (12),train
new_dataset_raw\Dry\images (12)_resized_rotated_90_flipped_horizontal.jpg,dry,images (12),train
new_dataset_raw\Dry\images (12)_resized_rotated_90_flipped_vertical.jpg,dry,images (12),train
new_dataset_raw\Dry\images (13)_resized_flipped_horizontal.jpg,dry,images (13),train
new_dataset_raw\Dry\images (13)_resized_flipped_vertical.jpg,dry,images (13),train
new_dataset_raw\Dry\images (13)_resized_resized.jpg,dry,images (13),train
new_dataset_raw\Dry\images (13)_resized_rotated_180.jpg,dry,images (13),train
new_dataset_raw\Dry\images (13)_resized_rotated_180_flipped_horizontal.jpg,dry,images (13),train
new_dataset_raw\Dry\images (13)_resized_rotated_180_flipped_vertical.jpg,dry,images (13),train
new_dataset_raw\Dry\images (13)_resized_rotated_90.jpg,dry,images (13),train
new_dataset_raw\Dry\images (14)_resized_flipped_vertical.jpg,dry,images (14),train
new_dataset_raw\Dry\images (14)_resized_resized.jpg,dry,images (14),train
new_dataset_raw\Dry\images (14)_resized_rotated_180.jpg,dry,images (14),train
new_dataset_raw\Dry\images (14)_resized_rotated_180_flipped_horizontal.jpg,dry,images (14),train
new_dataset_raw\Dry\images (14)_resized_rotated_90.jpg,dry,images (14),train
new_dataset_raw\Dry\images (14)_resized_rotated_90_flipped_horizontal.jpg,dry,images (14),train
new_dataset_raw\Dry\images (14)_resized_rotated_90_flipped_vertical.jpg,dry,images (14),train
new_dataset_raw\Dry\images (15)_resized_flipped_vertical.jpg,dry,images (15),train
new_dataset_raw\Dry\images (15)_resized_resized.jpg,dry,images (15),train
new_dataset_raw\Dry\images (15)_resized_rotated_180.jpg,dry,images (15),train
new_dataset_raw\Dry\images (15)_resized_rotated_180_flipped_horizontal.jpg,dry,images (15),train
new_dataset_raw\Dry\images (15)_resized_rotated_180_flipped_vertical.jpg,dry,images (15),train
new_dataset_raw\Dry\images (15)_resized_rotated_90_flipped_horizontal.jpg,dry,images (15),train
new_dataset_raw\Dry\images (15)_resized_rotated_90_flipped_vertical.jpg,dry,images (15),train
new_dataset_raw\Dry\images (17)_resized_flipped_horizontal.jpg,dry,images (17),train
new_dataset_raw\Dry\images (17)_resized_flipped_vertical.jpg,dry,images (17),train
new_dataset_raw\Dry\images (17)_resized_resized.jpg,dry,images (17),train
new_dataset_raw\Dry\images (17)_resized_rotated_180.jpg,dry,images (17),train
new_dataset_raw\Dry\images (17)_resized_rotated_90.jpg,dry,images (17),train
new_dataset_raw\Dry\images (17)_resized_rotated_90_flipped_horizontal.jpg,dry,images (17),train
new_dataset_raw\Dry\images (17)_resized_rotated_90_flipped_vertical.jpg,dry,images (17),train
new_dataset_raw\Dry\images (19)_resized_flipped_horizontal.jpg,dry,images (19),train
new_dataset_raw\Dry\images (19)_resized_flipped_vertical.jpg,dry,images (19),train
new_dataset_raw\Dry\images (19)_resized_rotated_180.jpg,dry,images (19),train
new_dataset_raw\Dry\images (19)_resized_rotated_180_flipped_horizontal.jpg,dry,images (19),train
new_dataset_raw\Dry\images (19)_resized_rotated_180_flipped_vertical.jpg,dry,images (19),train
new_dataset_raw\Dry\images (19)_resized_rotated_90_flipped_vertical.jpg,dry,images (19),train
new_dataset_raw\Dry\images (2)_resized_flipped_vertical.jpg,dry,images (2),train
new_dataset_raw\Dry\images (2)_resized_resized.jpg,dry,images (2),train
new_dataset_raw\Dry\images (2)_resized_rotated_180.jpg,dry,images (2),train
new_dataset_raw\Dry\images (2)_resized_rotated_180_flipped_horizontal.jpg,dry,images (2),train
new_dataset_raw\Dry\images (2)_resized_rotated_180_flipped_vertical.jpg,dry,images (2),train
new_dataset_raw\Dry\images (2)_resized_rotated_90.jpg,dry,images (2),train
new_dataset_raw\Dry\images (2)_resized_rotated_90_flipped_horizontal.jpg,dry,images (2),train
new_dataset_raw\Dry\images (2)_resized_rotated_90_flipped_vertical.jpg,dry,images (2),train
new_dataset_raw\Dry\images (20)_resized_flipped_horizontal.jpg,dry,images (20),train
new_dataset_raw\Dry\images (20)_resized_flipped_vertical.jpg,dry,images (20),train
new_dataset_raw\Dry\images (20)_resized_resized.jpg,dry,images (20),train
new_dataset_raw\Dry\images (20)_resized_rotated_90.jpg,dry,images (20),train
new_dataset_raw\Dry\images (20)_resized_rotated_90_flipped_horizontal.jpg,dry,images (20),train
new_dataset_raw\Dry\images (20)_resized_rotated_90_flipped_vertical.jpg,dry,images (20),train
new_dataset_raw\Dry\images (24)_resized_flipped_horizontal.jpg,dry,images (24),train
new_dataset_raw\Dry\images (24)_resized_flipped_vertical.jpg,dry,images (24),train
new_dataset_raw\Dry\images (24)_resized_resized.jpg,dry,images (24),train
new_dataset_raw\Dry\images (24)_resized_rotated_180_flipped_horizontal.jpg,dry,images (24),train
new_dataset_raw\Dry\images (24)_resized_rotated_180_flipped_vertical.jpg,dry,images (24),train
new_dataset_raw\Dry\images (24)_resized_rotated_90.jpg,dry,images (24),train
new_dataset_raw\Dry\images (24)_resized_rotated_90_flipped_horizontal.jpg,dry,images (24),train
new_dataset_raw\Dry\images (24)_resized_rotated_90_flipped_vertical.jpg,dry,images (24),train
new_dataset_raw\Dry\images (25)_resized_flipped_horizontal.jpg,dry,images (25),train
new_dataset_raw\Dry\images (25)_resized_rotated_180.jpg,dry,images (25),train
new_dataset_raw\Dry\images (25)_resized_rotated_180_flipped_horizontal.jpg,dry,images (25),train
new_dataset_raw\Dry\images (25)_resized_rotated_180_flipped_vertical.jpg,dry,images (25),train
new_dataset_raw\Dry\images (25)_resized_rotated_90.jpg,dry,images (25),train
new_dataset_raw\Dry\images (25)_resized_rotated_90_flipped_horizontal.jpg,dry,images (25),train
new_dataset_raw\Dry\images (25)_resized_rotated_90_flipped_vertical.jpg,dry,images (25),train
new_dataset_raw\Dry\images (26)_resized_flipped_vertical.jpg,dry,images (26),train
new_dataset_raw\Dry\images (26)_resized_resized.jpg,dry,images (26),train
new_dataset_raw\Dry\images (26)_resized_rotated_180_flipped_horizontal.jpg,dry,images (26),train
new_dataset_raw\Dry\images (26)_resized_rotated_180_flipped_vertical.jpg,dry,images (26),train
new_dataset_raw\Dry\images (26)_resized_rotated_90.jpg,dry,images (26),train
new_dataset_raw\Dry\images (26)_resized_rotated_90_flipped_horizontal.jpg,dry,images (26),train
new_dataset_raw\Dry\images (27)_resized_flipped_horizontal.jpg,dry,images (27),train
new_dataset_raw\Dry\images (27)_resized_flipped_vertical.jpg,dry,images (27),train
new_dataset_raw\Dry\images (27)_resized_resized.jpg,dry,images (27),train
new_dataset_raw\Dry\images (27)_resized_rotated_180.jpg,dry,images (27),train
new_dataset_raw\Dry\images (27)_resized_rotated_180_flipped_horizontal.jpg,dry,images (27),train
new_dataset_raw\Dry\images (27)_resized_rotated_180_flipped_vertical.jpg,dry,images (27),train
new_dataset_raw\Dry\images (27)_resized_rotated_90_flipped_horizontal.jpg,dry,images (27),train
new_dataset_raw\Dry\images (27)_resized_rotated_90_flipped_vertical.jpg,dry,images (27),train
new_dataset_raw\Dry\images (29)_resized_flipped_horizontal.jpg,dry,images (29),train
new_dataset_raw\Dry\images (29)_resized_flipped_vertical.jpg,dry,images (29),train
new_dataset_raw\Dry\images (29)_resized_resized.jpg,dry,images (29),train
new_dataset_raw\Dry\images (29)_resized_rotated_180.jpg,dry,images (29),train
new_dataset_raw\Dry\images (29)_resized_rotated_180_flipped_horizontal.jpg,dry,images (29),train
new_dataset_raw\Dry\images (29)_resized_rotated_180_flipped_vertical.jpg,dry,images (29),train
new_dataset_raw\Dry\images (29)_resized_rotated_90.jpg,dry,images (29),train
new_dataset_raw\Dry\images (3)_resized_flipped_horizontal.jpg,dry,images (3),train
new_dataset_raw\Dry\images (3)_resized_flipped_vertical.jpg,dry,images (3),train
new_dataset_raw\Dry\images (3)_resized_resized.jpg,dry,images (3),train
new_dataset_raw\Dry\images (3)_resized_rotated_180.jpg,dry,images (3),train
new_dataset_raw\Dry\images (3)_resized_rotated_180_flipped_horizontal.jpg,dry,images (3),train
